,CodeName,Name,Description
551,SAILFOSSIL,Sail Fossil,A fossil of an ancient Pokémon that lived in the sea in ancient times. It appears to be part of its sail
552,SCIZORITE,Scizorite,"One variety of Mega Stone. Have Scizor hold it, and this stone will enable it to Mega Evolve in battle."
553,SNOWBALL,Snowball,An item to be held by a Pokémon. It boosts Attack if hit with an Ice-type attack. It can only be used once.
554,TYRANITARITE,Tyranitarite,"One variety of Mega Stone. Have Tyranitar hold it, and this stone will enable it to Mega Evolve in battle."
555,VENUSAURITE,Venusaurite,"One variety of Mega Stone. Have Venusaur hold it, and this stone will enable it to Mega Evolve in battle."
556,WEAKNESSPOLICY,Weakness Policy,An item to be held by a Pokémon. Attack and Sp. Atk sharply increase if the holder is hit with a move it's weak to.
557,WHIPPEDDREAM,Whipped Dream,"A soft and sweet treat made of fluffy, puffy, whipped and whirled cream. It's loved by a certain Pokémon."
558,ABILITYCAPSULE,Ability Capsule,A capsule that allows a Pokémon to switch abilities when it is used.
559,TM96,TM96,An attack that makes use of nature's power. Its effects vary depending on the user's environment.
560,TM97,TM97,The user releases a horrible aura imbued with dark thoughts. It may also make the target flinch.
561,TM98,TM98,Striking opponents over and over makes the user's fists harder. Hitting a target raises the Attack stat.
562,TM99,TM99,The user damages opposing Pokémon by emitting a powerful flash.
563,TM100,TM100,"The user tells the target a secret, and the target loses its ability to concentrate. This lowers the target's Sp. Atk stat."
564,SPICEPOWDER,Spice Powder,Tropical spices grounded up into one. Great for getting pesky Pokemon to move from their location.
565,ANCIENTWING,Ancient Wing,A mysterious stone wing. It looks like it was attatched to something.
566,ROOMIDCARD,Room ID Card,A card key that was found in Melia's bag. It seems a little damaged...
567,EMOTIONPOWDER,Emotion Powder,A mysterious substance that is used to travel in Valor Mountain.
568,DULLKEY,Dull Key,A peculiar key to some door in Aevium.
569,SECRETPOTION,Secret Potion,An extremely powerful medicine that originated from Olivine City in the Johto region.
570,EXCLUSIVEPASS,Exclusive Pass,A pass that allows the lucky weilder to enter Grand Dream City during their celebrity event.
571,JOYSCENT,Joy Scent,This scent massage opens the hearts of Pokémon a little.
572,EXCITESCENT,Excite Scent,This scent massage opens the hearts of Pokémon.
573,VIVIDSCENT,Vivid Scent,This scent massage opens the hearts of Pokémon a lot.
574,TIMEFLUTE,Time Flute,This item fully opens the hearts of a Shadow Pokémon.
575,WHITEKEY,White Key,A mysterious key that opens a door somewhere nearby.
576,MININGKIT,Mining Kit,A kit that contains tools for mining.
577,LADDER,Ladder,A sturdy ladder
578,ODDKEY,Odd Key,A key to some house in Goldenleaf.
579,BRASSKEY,Brass Key,A key that can be used to open up the way to the Lost Camp.
580,BLACKSHARD,Black Shard,An extremely rare shard that can only be found in certain places.
581,TM101,TM101,The Pokémon uses its claws to grapple onto certain surfaces. Enabling it to climb.
582,CHESTNUT,Chestnut,A spiny delicacy. It restores 20 HP.
583,CRYSTALSHARD,Crystal Shard,A mysterious crystal that is said to awaken nearby Timesplicer stones.
584,VISITORSPASS,Visitor's Pass,A pass that allows visitors to access Axis University.
585,METAGROSSITE,Metagrossite,"One variety of Mega Stone. Have Metagross hold it, and this stone will enable it to Mega Evolve in battle."
586,DEFIBRILLATOR,Defibrillator,A machine that can conduct electricity into a person.
587,YACHTKEYS,Yacht Keys,Keys to Tesla's Yacht on Teila Resort's shore.
588,MOONDIAL,Moon Dial,A pendant that's oddly shaped like a Pokemon...
589,PHASEDIAL,Phase Dial,A pendant that's simultaneously shaped like the sun and the moon.
590,CENTERKEYS,Center Keys,Keys to another Help Center somewhere on Terajuma Island.
591,FUNNELCAKE,Funnel Cake,A delicious pastry that has the ability to revive fainted Pokemon.
592,TM102,TM102,The user engulfs their foot with poison and proceeds to knock over their opponent. It may lower Speed.
593,TM103,TM103,The user proceeds to attack the opponent with quick jabs. The more it's used the more powerful it is.
594,GREENKEY,Green Key,A key to Madelis' throne room.
595,YELLOWKEY,Yellow Key,A key to Madelis' throne room.
596,BLUEKEY,Blue Key,A key to Madelis' throne room.
597,REDKEY,Red Key,A key to Madelis' throne room.
598,BLUEMIC,Blue Moon Ice Cream,An extremely rare ice cream from the Reborn region!
599,ANCIENTBOOK,Ancient Book,A book that is said to have the power to translate ancient Garufa text.
600,MYSTERYITEM,Mystery Item,An object that is an item-- but also a mystery.
601,VANILLAIC,Vanilla Ice Cream,A vanilla flavored treat! Eat it before it melts!
602,CHOCOLATEIC,Choc Ice Cream,A chocolate flavored treat! Eat it before it melts!
603,STRAWBIC,Berry Ice Cream,A strawberry flavored treat! Eat it before it melts!
604,BIKEV,Bike Voucher,Redeem this at the Jynnobi Pass bike shop for a free bike!
605,BRKA,Broken Antenna,A broken interfering signal antenna. The guard named it Philip. RIP Guard.
606,BRKAR,Refurbished Laser,A broken antenna that was turned into a small laser.
607,MAGSTONE,Earth Heart,A special scale that has the power to break auras.
608,TM110,TM110,It engulfs the opponent with a giant wave of magma. It can also be used for crossing lava or magma.
609,TM104,TM104,The power of this attack move is doubled if the user has been hurt by the target in the same turn.
610,STOREKEY1,Storage Key1,A key that can be used to open up Storage Unit #1 in Akuwa Town.
611,POLIFLUTE,Troupe Flute,A flute that can be used to gather the Poliwag Troupe.
612,XENKEY,V.G.C.R. Key,A key that can unlock a door at the V.G.C.R. underneath Carotos Mountain.
613,CARDKEYS,Card Key Shard,A piece of a broken card key.
614,CARDKEYS2,Card Key Shard,A piece of a broken card key.
615,CARDKEYS3,Card Key Shard,A piece of a broken card key.
616,TM105,TM105,"The user creates a large wall out of sediment, weakening the power of Super Effective moves for 5 turns. It can only be used in a sandstorm."
617,TM106,TM106,Does massive damage if the opponent is inflicted with a status.
618,KKEY,Apartment Key,A key to some apartment in Kugearen City.
619,TP,Toilet Paper,Toilet Paper... okay?
620,WEIRDDIARY,Weird Diary,A weird diary that claims to have the answer to Dimensional Rift purification.
621,ATKCARD,Attack Card,A card that allows the owner to participate in the Attack EV center service.
622,SPATKCARD,SPAttack Card,A card that allows the owner to participate in the Special Attack EV center service.
623,DEFCARD,Defense Card,A card that allows the owner to participate in the Defense EV center service.
624,DATACHIP,Data Drive,A usb filled with mysterious data.
625,TM107,TM107,The user slashes the target with a massive vine-whip. It may burn the target.
626,TM108,TM108,"The user pelts the opponent with large amounts of mud, hitting two to five times in a row."
627,STRAWCAKE,Strawberry Cake,A delicious cake made from strawberries! Restores 150 HP.
628,ROSETEA,Rose Tea,Delicious tea made from dried rose petals. Restores PP on a single move.
629,HERBALTEA,Herbal Tea,Tea made from fresh herbs. Fully revives a single Pokemon and increases happiness.
630,RAZZTART,Razz Berry Tart,A sour pastry made from fresh Razz Berries. Cures status ailments.
631,SCEPTILITE,Sceptilite,"One variety of Mega Stone. Have Sceptile hold it, and this stone will enable it to Mega Evolve in battle."
632,LIGHTKEY,Lighthouse Key,A key to the help center in Kristiline Town.
633,SPDEFCARD,SPDefense Card,A card that allows the owner to participate in the Special Defense EV center service.
634,GATEKEY,Gate Key,A key that opens a door somewhere in the Darchlight Manor.
635,STEAMBALL,Steam Ball,A somewhat different Poké Ball that works especially well on Water- and Fire-type Pokémon.
636,MINERALBALL,Mineral Ball,A somewhat different Poké Ball that works especially well on Rock- Ground- and Steel-type Pokémon.
637,GATHERCUBE,Gather Cube,A Mysterious Cube that has the power to gather various types of cells.
638,ANJUPENDANT,Anju's Pendant,A pendant that belongs to a mysterious woman named Anju. It apparently means a lot to her.
639,SNAGMACHINE,Snag Machine,A machine that allows the user to snag Shadow Pokemon.
640,SNAGMACHINE1,Snag Machine,Once was a machine that was capable of capturing Shadow Pokemon. Madelis interfered with the device and destroyed it.
641,APOPHYLLPAN,Apophyll Pancakes,Delicious pancakes imported from Apophyll Academy. They're magically delicious!
642,NIGHTMED,Nightmare Medallion,A cursed medal that will guarantee the user to experience nightmares while they sleep. 
643,LABKEY,Lab Key,A key that Professor Matthew found in the Forsaken Laboratory.
644,STARSHARD1,Star Shard,A star piece that seems to be part of something bigger.
645,STARSHARD2,Star Shard,A star piece that seems to be part of something bigger. There are two shards here.
646,STARSHARD3,Star Shard,A star piece that seems to be part of something bigger. There are three shards here.
647,STARSHARD4,Star Shard,A star piece that seems to be part of something bigger. There are four shards here.
648,INVITATION,Secret Invitation,An invitation to a secret event! Take it to the Gearen Laboratory!
649,FAMILYPORTRAIT,Family Portrait,A portait of a family that once lived in Aevium. Their history is unknown.
650,ULTRAPOTION,Ultra Potion,A spray-type medicine for wounds. It restores the HP of one Pokémon by 200 points.
651,ADRENALINEORB,Adrenaline Orb,"If held by a Pokémon, it boosts Speed when intimidated. It can be used only once."
652,BIGMALASADA,Big Malasada,The Alola region’s local specialty—fried bread. It can be used once to heal all the status conditions of a Pokémon.
653,ICESTONE,Ice Stone, A peculiar stone that can make certain species of Pokémon evolve. It has an unmistakable snowflake pattern. 
654,PROTECTIVEPADS,Protective Pads, An item to be held by a Pokémon. These pads protect the holder from effects caused by making direct contact. 
655,FIREMEMORY,Fire Memory,A memory disc that contains Fire-type data. It changes the type of the holder if held by a certain Pokémon.
656,WATERMEMORY,Water Memory,A memory disc that contains Water-type data. It changes the type of the holder if held by a certain Pokémon.
657,ELECTRICMEMORY,Electric Memory,A memory disc that contains Electric-type data. It changes the type of the holder if held by a certain Pokémon.
658,GRASSMEMORY,Grass Memory,A memory disc that contains Grass-type data. It changes the type of the holder if held by a certain Pokémon.
659,ICEMEMORY,Ice Memory,A memory disc that contains Ice-type data. It changes the type of the holder if held by a certain Pokémon.
660,FIGHTINGMEMORY,Fighting Memory,A memory disc that contains Fighting-type data. It changes the type of the holder if held by a certain Pokémon.
661,POISONMEMORY,Poison Memory,A memory disc that contains Poison-type data. It changes the type of the holder if held by a certain Pokémon.
662,GROUNDMEMORY,Ground Memory,A memory disc that contains Ground-type data. It changes the type of the holder if held by a certain Pokémon.
663,FLYINGMEMORY,Flying Memory,A memory disc that contains Flying-type data. It changes the type of the holder if held by a certain Pokémon.
664,PSYCHICMEMORY,Psychic Memory,A memory disc that contains Psychic-type data. It changes the type of the holder if held by a certain Pokémon.
665,BUGMEMORY,Bug Memory,A memory disc that contains Bug-type data. It changes the type of the holder if held by a certain Pokémon.
666,ROCKMEMORY,Rock Memory,A memory disc that contains Rock-type data. It changes the type of the holder if held by a certain Pokémon.
667,GHOSTMEMORY,Ghost Memory,A memory disc that contains Ghost-type data. It changes the type of the holder if held by a certain Pokémon.
668,DRAGONMEMORY,Dragon Memory,A memory disc that contains Dragon-type data. It changes the type of the holder if held by a certain Pokémon.
669,DARKMEMORY,Dark Memory,A memory disc that contains Dark-type data. It changes the type of the holder if held by a certain Pokémon.
670,STEELMEMORY,Steel Memory,A memory disc that contains Steel-type data. It changes the type of the holder if held by a certain Pokémon.
671,FAIRYMEMORY,Fairy Memory,A memory disc that contains Fairy-type data. It changes the type of the holder if held by a certain Pokémon.
672,BEASTBALL,Beast Ball,A special Poké Ball designed to catch Ultra Beasts. It has a low success rate for catching others.
673,REDNECTAR,Red Nectar,A flower nectar imported from Ula'ula Meadow. It changes the form of certain species of Pokémon.
674,YELLOWNECTAR,Yellow Nectar,A flower nectar imported from Melemele Meadow. It changes the form of certain species of Pokémon.
675,PINKNECTAR,Pink Nectar,A flower nectar imported from the flowering shrubs on Royal Avenue. It changes the form of certain species of Pokémon.
676,PURPLENECTAR,Purple Nectar,A flower nectar imported from Poni Meadow. It changes the form of certain species of Pokémon.
677,TM111,TM111,This move reduces damage from physical and special moves for five turns. This can be used only in a hailstorm.
678,BUGINIUMZ,Buginium-Z,It converts Z-Power into crystals that upgrade Bug-type moves to Bug-type Z-Moves.
679,DARKINIUMZ,Darkinium-Z,It converts Z-Power into crystals that upgrade Dark-type moves to Dark-type Z-Moves.
680,DRAGONIUMZ,Dragonium-Z,It converts Z-Power into crystals that upgrade Dragon-type moves to Dragon-type Z-Moves.
681,ELECTRIUMZ,Electrium-Z,It converts Z-Power into crystals that upgrade Electric-type moves to Electric-type Z-Moves.
682,FAIRIUMZ,Fairium-Z,It converts Z-Power into crystals that upgrade Fairy-type moves to Fairy-type Z-Moves.
683,FIGHTINIUMZ,Fightinium-Z,It converts Z-Power into crystals that upgrade Fighting-type moves to Fighting-type Z-Moves.
684,FIRIUMZ,Firium-Z,It converts Z-Power into crystals that upgrade Fire-type moves to Fire-type Z-Moves.
685,FLYINIUMZ,Flyinium-Z,It converts Z-Power into crystals that upgrade Flying-type moves to Flying-type Z-Moves.
686,GHOSTIUMZ,Ghostium-Z,It converts Z-Power into crystals that upgrade Ghost-type moves to Ghost-type Z-Moves.
687,GRASSIUMZ,Grassium-Z,It converts Z-Power into crystals that upgrade Grass-type moves to Grass-type Z-Moves.
688,GROUNDIUMZ,Groundium-Z,It converts Z-Power into crystals that upgrade Ground-type moves to Ground-type Z-Moves.
689,ICIUMZ,Icium-Z,It converts Z-Power into crystals that upgrade Ice-type moves to Ice-type Z-Moves.
690,NORMALIUMZ,Normalium-Z,It converts Z-Power into crystals that upgrade Normal-type moves to Normal-type Z-Moves.
691,POISONIUMZ,Poisonium-Z,It converts Z-Power into crystals that upgrade Poison-type moves to Poison-type Z-Moves.
692,PSYCHIUMZ,Psychium-Z,It converts Z-Power into crystals that upgrade Psychic-type moves to Psychic-type Z-Moves.
693,ROCKIUMZ,Rockium-Z,It converts Z-Power into crystals that upgrade Rock-type moves to Rock-type Z-Moves.
694,STEELIUMZ,Steelium-Z,It converts Z-Power into crystals that upgrade Steel-type moves to Steel-type Z-Moves.
695,WATERIUMZ,Waterium-Z,It converts Z-Power into crystals that upgrade Water-type moves to Water-type Z-Moves.
696,ALORAICHIUMZ,Aloraichium-Z,It converts Z-Power into crystals that upgrade Alternate Raichu's Thunderbolt to an exclusive Z-Move.
697,DECIDIUMZ,Decidium-Z,It converts Z-Power into crystals that upgrade Decidueye's Spirit Shackle to an exclusive Z-Move.
698,INCINIUMZ,Incinium-Z,It converts Z-Power into crystals that upgrade Incineroar's Darkest Lariat to an exclusive Z-Move.
699,PRIMARIUMZ,Primarium-Z,It converts Z-Power into crystals that upgrade Primarina's Sparkling Aria to an exclusive Z-Move.
700,EEVIUMZ,Eevium-Z,It converts Z-Power into crystals that upgrade Eevee's Last Resort to an exclusive Z-Move.
701,PIKANIUMZ,Pikanium-Z,It converts Z-Power into crystals that upgrade Pikachu's Volt Tackle to an exclusive Z-Move.
702,SNORLIUMZ,Snorlium-Z,It converts Z-Power into crystals that upgrade Snorlax's Giga Impact to an exclusive Z-Move.
703,MEWNIUMZ,Mewnium-Z,It converts Z-Power into crystals that upgrade Mew's Psychic to an exclusive Z-Move.
704,TAPUNIUMZ,Tapunium-Z,It converts Z-Power into crystals that upgrade the tapus' Nature's Madness to an exclusive Z-Move.
705,MARSHADIUMZ,Marshadium-Z,It converts Z-Power into crystals that upgrade Marshadow's Spectral Thief to an exclusive Z-Move.
706,ELEMENTALSEED,Elemental Seed,A single-use seed that boosts its holder in Elemental Fields.
707,MAGICALSEED,Magical Seed,A single-use seed that boosts its holder in Magical Fields.
708,TELLURICSEED,Telluric Seed,A single-use seed that boosts its holder in Telluric Fields.
709,SYNTHETICSEED,Synthetic Seed,A single-use seed that boosts its holder in Synthetic Fields.
710,GEARAMULET,Time Gear Amulet,An amulet with a Time Gear on it. Its function is unknown.
711,GARUFABOOK,Garufa Spellbook,A book that contains a myriad of spells created by the Garufa.
712,SCANE,Souta's Cane,A mystical cane that Souta owned. It can extend and shorten itself at the base. 
713,PIDGEOTITE,Pidgeotite,"One variety of Mega Stone. Have Pidgeot hold it, and this stone will enable it to Mega Evolve in battle."
714,SLOWBRONITE,Slowbronite,"One variety of Mega Stone. Have Slowbro hold it, and this stone will enable it to Mega Evolve in battle."
715,TM112,TM112,The user stabs the target with a sharp horn. This attack never misses.
716,TM113,TM113,The user swings its body around violently to inflict damage on everything in its vicinity.
717,TM114,TM114,The user drains the target's blood. The user's HP is restored by half the damage taken by the target.
718,MYSTEMBLEM,Mysterious Emblem,A mysterious emblem that depicts an odd shape.
719,RESEARCHNOTES,Research Notes,A book filled with research notes about the Pokemon Flabebe.
720,SPUPARCEL,SPU Parcel,A parcel from the broken down SPU truck. Take this to its rightful owner!
721,DARCHMIRROR,Darchlight Mirror,A mysterious mirror that's said to act as a bridge between dimensions.
722,DARKMATTER,Dark Material,A fragment of pitch-dark energy.
723,CURSEDCANDLE,Cursed Candle,A candle that has a dark curse placed upon it. It seems like it was crafted specifically to fit atop a grave.
724,AUDITIONTAPE,Audition Tape,A tape Melia made to audition for the Normal-Type Gym Leader position. It's apparently very embarrassing.
725,ACHIEVEMENTCARD,Achievement Card,A card that displays the amount of AP on hand.
726,GOLDENGAUNTLET,Golden Gauntlet,A golden item that allows for the use of Strength without the use of TMs.
727,GOLDENAXE,Golden Axe,A golden item that allows for the use of Cut without the use of TMs.
728,GOLDENHAMMER,Golden Hammer,A golden item that allows for the use of Rock Smash without the use of TMs.
729,GOLDENSURFBOARD,Golden Surfboard,A golden item that allows for the use of Surf without the use of TMs.
730,GOLDENSCUBAGEAR,Golden Scuba Gear,A golden item that allows for the use of Dive without the use of TMs.
731,GOLDENWINGS,Golden Wings,A golden item that allows for the use of Fly without the use of TMs.
732,GOLDENJETPACK,Golden Jetpack,A golden item that allows for the use of Waterfall without the use of TMs.
733,GOLDENDRIFTBOARD,Golden Drift Board,A golden item that allows for the use of Magma Drift without the use of TMs.
734,GOLDENCLAWS,Golden Claws,A golden item that allows for the use of Rock Climb without the use of TMs.
735,EXPALL,Exp. All (On),Turning off this special device will stop all Pokémon on your team from receiving Exp. Points from battles.
736,EXPALLOFF,Exp. All (Off),Turning on this special device will allow all Pokémon on your team to receive Exp. Points from battles.
737,BEEDRILLITE,Beedrillite,"One variety of Mega Stone. Have Beedrill hold it, and this stone will enable it to Mega Evolve in battle."
738,STEELIXITE,Steelixite,"One variety of Mega Stone. Have Steelix hold it, and this stone will enable it to Mega Evolve in battle."
739,SWAMPERTITE,Swampertite,"One variety of Mega Stone. Have Swampert hold it, and this stone will enable it to Mega Evolve in battle."
740,SABLENITE,Sablenite,"One variety of Mega Stone. Have Sableye hold it, and this stone will enable it to Mega Evolve in battle."
741,SHARPEDONITE,Sharpedonite,"One variety of Mega Stone. Have Sharpedo hold it, and this stone will enable it to Mega Evolve in battle."
742,CAMERUPTITE,Cameruptite,"One variety of Mega Stone. Have Camerupt hold it, and this stone will enable it to Mega Evolve in battle."
743,ALTARIANITE,Altarianite,"One variety of Mega Stone. Have Altaria hold it, and this stone will enable it to Mega Evolve in battle."
744,GLALITITE,Glalitite,"One variety of Mega Stone. Have Glalie hold it, and this stone will enable it to Mega Evolve in battle."
745,SALAMENCITE,Salamencite,"One variety of Mega Stone. Have Salamence hold it, and this stone will enable it to Mega Evolve in battle."
746,LATIASITE,Latiasite,"One variety of Mega Stone. Have Latias hold it, and this stone will enable it to Mega Evolve in battle."
747,LATIOSITE,Latiosite,"One variety of Mega Stone. Have Latios hold it, and this stone will enable it to Mega Evolve in battle."
748,LOPUNNITE,Lopunnite,"One variety of Mega Stone. Have Lopunny hold it, and this stone will enable it to Mega Evolve in battle."
749,GALLADITE,Galladite,"One variety of Mega Stone. Have Gallade hold it, and this stone will enable it to Mega Evolve in battle."
750,AUDINITE,Audinite,"One variety of Mega Stone. Have Audino hold it, and this stone will enable it to Mega Evolve in battle."
751,DIANCITE,Diancite,"One variety of Mega Stone. Have Diancie hold it, and this stone will enable it to Mega Evolve in battle."
752,BLACKSHARD2,Black Shard,A mysterious shard that was created by smelting Black Ore.
753,SCENTEDLURE,Scented Lure,A lure that brings Pokemon out at certain spots.
754,MAGCREST,Magcargo Crest,It swaps Magcargo's Defense and Speed and increases Sp. Atk by 10%.
755,FEARCREST,Fearow Crest,Increases the power of stabbing moves by 50%. Increase critical-hit ratio by 1.
756,STANTCREST,Stantler Crest,It increases Stantler's and Wyrdeer's Attack and Accuracy by 50%.
757,HYPCREST,Hypno Crest,It increases Hypno's Special Attack and Accuracy by 50%.
758,GLACCREST,Glaceon Crest,It takes resisted damage from Rock and Fighting attacks.
759,LEAFCREST,Leafeon Crest,It takes resisted damage from Fire and Flying attacks.
760,RELICREST,Relicanth Crest,It increases Relicanth's Attack by 20% and Sp. Def by 30%.
761,ORICREST,Oricorio Crest,It increases Oricorio's Speed and Sp. Atk stat by 25%.
762,SILVCREST,Silvally Crest,Has a special effect for each held Memory and boosts that type's attacks.
763,SEVCREST,Seviper Crest,It causes Seviper to hit harder against healthier foes. Speed increased by 50%.
764,COFCREST,Cofagrigus Crest,It increases Cofagrigus's Sp. Def and Sp. Atk by 25%.
765,DUSKCREST,Dusknoir Crest,It increases Dusknoir's Attack by 20% and boosts weaker moves.
766,BADGECARD,Badge Card,A card that holds every virtual badge earned.
767,PULSEPLUS,Pulse+,???.
768,AQUAMARINEORE,Aquamarine Ore,Rare ore found within Aquamarine Cave.
769,TECANLITEKEY,Tecanlite Key,A key to a room in the Tecanlite Factory.
770,NSOLARIZER,N-Solarizer,This item is used to fuse Necrozma and Solgaleo to create Dusk Mane Necrozma.
771,NLUNARIZER,N-Lunarizer,This item is used to fuse Necrozma and Lunala to create Dawn Wings Necrozma.
772,KOMMONIUMZ,Kommonium-Z,It converts Z-Power into crystals that upgrade Kommo-o's Clanging Scales to an exclusive Z-Move.
773,LYCANIUMZ,Lycanium-Z,It converts Z-Power into crystals that upgrade Lycanroc's Stone Edge to an exclusive Z-Move.
774,MIMIKIUMZ,Mimikium-Z,It converts Z-Power into crystals that upgrade Mimikyu's Play Rough to an exclusive Z-Move.
775,SOLGANIUMZ,Solganium-Z,It converts Z-Power into crystals that upgrade Solgaleo's Sunsteel Strike to an exclusive Z-Move.
776,LUNALIUMZ,Lunalium-Z,It converts Z-Power into crystals that upgrade Lunala's Moongeist Beam to an exclusive Z-Move.
777,ULTRANECROZIUMZ,Ultranecrozium-Z,It's a crystal that allows Necrozma fused with another pokemon to change forme.
778,BLASTPOWDER,Blast Powder,A powder made from Electrode. Explodes to break up certain rock formations.
779,AMPLIFIELDROCK,Amplifield Rock,A Pokémon held item that extends the duration of the area-altering moves used by the holder.
780,RIFTSEED,Rift Seed,A single-use seed that boosts its holder in Telluric Fields.
781,MYSTBLACKBOX,Mysterious Black Box,A mysterious black box that belonged to Nancy. It gives off a faint pink glow.
782,HOUSEKEY,House Key,A key to the strange house south of Sashila Village. It's really rusty.
783,REFORGEDKEY,Reforged Key,A key to the strange house south of Sashila Village. It's brand new!
784,GREGPOSTCARD,Lake Postcard,A postcard with a lovely picture of Gregorian Lake on it.
785,SKUNCREST,Skuntank Crest,Nullifies damage and boosts Attack when hit by a Ground-type move. Increases Attack and Sp. Atk by 20%.
786,TRANSMITTER,Transmitter,A transmitter given to you by Nastasia. It can be used to speak to Ren or Aelita.
787,ZONEZEROKEY,Zone Zero Key,A key to open the gate to Zone Zero from Alamissa Urben.
788,DARMCREST,Darmanitan Crest,Darmanitan is forced into Zen Mode while holding this crest.
789,CHERCREST,Cherrim Crest,It forces Cherrim into its Sunshine Form and activates Flower Gift regardless of weather.
790,CLAYCREST,Claydol Crest,Claydol's Special attacks use its Defense stat. The power of beam moves is increased by 50%.
791,DEDECREST,Dedenne Crest,Dedenne's Physical attacks use its Speed stat rather than its Attack stat.
792,ZANGCREST,Zangoose Crest,"Zangoose becomes poisoned upon switching in, and restores HP while poisoned."
793,BASTCREST,Bastiodon Crest,"Attackers take 50% of the damage they deal as recoil, and the wearer is healed the same amount."
794,MEGCREST,Meganium Crest,Meganium and its allies take reduced damage and recover every turn.
795,TYPHCREST,Typhlosion Crest,"Typhlosion's Attack scales with Sp. Atk, and contact moves do an additional hit of damage."
796,FERACREST,Feraligatr Crest,First move has increased priority if it's damaging. Biting moves deal 50% more damage.
797,RAMPCREST,Rampardos Crest,Rampardos will hang on with 1HP regardless of HP once per battle and does not take recoil.
798,LEDICREST,Ledian Crest,Ledian punches four times at once. Secondary effects only occur on the first two hits.
799,ARIACREST,Ariados Crest,Ariados's speed is increase by 50%. Deals critical hits against slowed or poisoned targets.
800,SPIRITCREST,Spiritomb Crest,Spiritomb becomes stronger for each defeated ally. Recovers health based on KO'd enemies.
801,WHISCREST,Whiscash Crest,Nullifies damage and boosts Attack when hit by a Grass-type move. Increase Atk and Sp. Atk by 20%
802,ENIGMATICKEY,Enigmatic Key,A key that was previously the Normality Badge. The Normality Badge's true form.
803,BEHECREST,Beheeyem Crest,Beheyeem disables an opponent's move when attacked. Faster opponents do reduced damage to Beheeyem.
804,TORCREST,Torterra Crest,"Torterra's resistances and weaknesses are swapped, retaining immunities. Attacks restore HP."
805,INFCREST,Infernape Crest,Infernape's Attacking and Defensive stats are swapped. 1/16th Max HP is restored every turn.
806,EMPCREST,Empoleon Crest,"Empoleon's Ice-type moves are boosted by 50%, and Speed is doubled in Hail and on Ice Fields."
807,MAGWAND,Magic Wand,A stick Braixen used to use for her attacks.
808,DARKCORE,Dark Matter Core,A core filled to the brim with Dark Matter.
809,RM01,RM01,The user sharpens its claws to boost its Attack stat and accuracy.
810,RM02,RM02,This move deals double damage if the user is hurt by the target that turn.
811,RM03,RM03,The user fires an electric blast like a cannon to inflict damage and cause paralysis.
812,RM04,RM04,The user waggles a finger and stimulates its brain into randomly using nearly any move.
813,RM05,RM05,This move attacks first. It fails if the target is not attacking.
814,RM06,RM06,The user avenges an ally. If an ally fainted the prior turn the damage increases.
815,RM07,RM07,The user punches the target with full power. It confuses the target if it hits.
816,RM08,RM08,The user whirls its fists to send out a wave of pure vacuum. This move always goes first.
817,CRYCREST,Cryogonal Crest,"Increases Cryogonal's Sp. Def by 20%, then increases its other stats by 10% of its Sp. Def."
818,CASTCREST,Castform Crest,Castform uses the first weather move it knows. Its Forecast forms also become empowered.
819,RM09,RM09,The user strikes with a simultaneous three-beam attack. May also burn or freeze or paralyze the target.
820,TARTAPPLE,Tart Apple,A peculiar apple that can make a certain species of Pokémon evolve. It's exceptionally tart.
821,SWEETAPPLE,Sweet Apple,A peculiar apple that can make a certain species of Pokémon evolve. It's exceptionally Sweet.
822,CHIPPEDPOT,Chipped Pot,"A peculiar teapot that can make a certain species of Pokémon evolve. It may be chipped, but tea poured from it is delicious."
823,CRACKEDPOT,Cracked Pot,"A peculiar teapot that can make a certain species of Pokémon evolve. It may be cracked, but tea poured from it is delicious."
824,RUSTEDSWORD,Rusted Sword,It is said that a hero used this sword to halt a terrible disaster in ancient times. It's grown rusty and worn.
825,RUSTEDSHIELD,Rusted Shield,It is said that a hero used this shield to halt a terrible disaster in ancient times. It's grown rusty and worn.
826,FOSSILIZEDBIRD,Fossilized Bird,The fossil of an ancient Pokémon that once soared through the sky. What it looked like is a mystery.
827,FOSSILIZEDDINO,Fossilized Dino,The fossil of an ancient Pokémon that once lived in the sea. What it looked like is a mystery.
828,FOSSILIZEDDRAKE,Fossilized Drake,The fossil of an ancient Pokémon that once roamed the land. What it looked like is a mystery.
829,FOSSILIZEDFISH,Fossilized Fish,The fossil of an ancient Pokémon that once lived in the sea. What it looked like is a mystery.
830,THROATSPRAY,Throat Spray,"This item, when held, causes a Pokémon's Special Attack stat to be raised by one stage when it uses a Sound based move"
831,EJECTPACK,Eject Pack,"An item to be held by a Pokémon. When the holder's stats are lowered, it will be switched out of battle."
832,HEAVYDUTYBOOTS,Heavy-Duty Boots,These boots prevent the effects of traps set on the battlefield.
833,BLUNDERPOLICY,Blunder Policy,Raises Speed sharply when a Pokémon misses with a move because of accuracy.
834,ROOMSERVICE,Room Service,An item to be held by a Pokémon. Lowers Speed when Trick Room takes effect.
835,UTILITYUMBRELLA,Utility Umbrella,An item to be held by a Pokémon. This sturdy umbrella protects the holder from the effects of weather.
836,EXPCANDYXS,Exp. Candy XS,"A candy that is packed with energy. When consumed, it will grant a Pokémon a very small amount of Exp. Points."
